Date Separator: / (379)
    ウォロフ語 (セネガル), 0x0488, wo-SN
    コサ語 (南アフリカ), 0x0434, xh-ZA

Date Separator: . (77)
    アゼルバイジャン語 (キリル文字、アゼルバイジャン), 0x082C, az-Cyrl-AZ
    アゼルバイジャン語 (ラテン文字、アゼルバイジャン), 0x042C, az-Latn-AZ
    ベラルーシ語 (ベラルーシ), 0x0423, be-BY
    ブルガリア語 (ブルガリア), 0x0402, bg-BG
    ボスニア語 (キリル文字、ボスニア・ヘルツェゴビナ), 0x201A, bs-Cyrl-BA
    ボスニア語 (ラテン文字、ボスニア・ヘルツェゴビナ), 0x141A, bs-Latn-BA
    チェコ語 (チェコ), 0x0405, cs-CZ
    デンマーク語 (デンマーク), 0x0406, da-DK
    デンマーク語 (グリーンランド), 0x1000, da-GL
    ドイツ語 (オーストリア), 0x0C07, de-AT
    ドイツ語 (ベルギー), 0x1000, de-BE
    ドイツ語 (スイス), 0x0807, de-CH
    ドイツ語 (ドイツ), 0x0407, de-DE
    ドイツ語 (イタリア), 0x1000, de-IT
